342,64
307,121
332,167
299,193
341,230
296,262
339,322
280,386
297,408
242,454
212,431
172,427
195,378
237,352
212,229
121,364
88,302
98,191
56,348
105,425
65,402
38,467
24,499
246,553
271,509
214,647
213,717
159,744
164,791
236,788
186,804
145,823
179,831
159,884
194,909
228,888
37,879
96,895
138,928
16,795
190,500
647,18
617,36
610,58
624,82
612,112
579,120
626,152
649,99
654,154
678,92
691,54
715,22
726,60
560,177
620,201
650,220
678,192
739,207
592,246
551,225
495,251
593,288
650,260
637,254
689,243
754,244
800,219
824,220
566,332
536,354
488,355
492,388
443,417
399,423
352,382
366,473
513,447
579,444
528,527
678,497
718,507
715,540
645,510
603,542
557,577
518,693
553,708
545,647
649,637
679,631
678,583
733,570
762,541
818,582
855,542
866,568
924,559
885,606
1005,537
995,596
973,672
1012,644
1015,704
1010,767
983,750
968,779
984,863
947,827
621,810
510,762
505,807
495,900
482,952
482,1005
519,995
574,1000
591,909
550,889
636,859
611,865
702,934
772,952
818,963
871,981
941,1011
966,981
925,946
876,936
900,884
1011,467
797,68
811,28
339,10
22,21
19,64
64,69
30,104
57,124
12,203
16,246
23,305
314,361
509,536
494,507
457,499
410,506
376,679
317,682
306,660
358,646
568,648
638,897
657,913
831,874
465,543
663,677
752,619
