94,49
196,26
291,13
721,71
784,21
769,128
744,200
688,207
667,263
723,256
725,299
666,323
654,369
719,361
667,399
681,436
727,388
702,510
753,492
766,444
841,412
868,313
941,264
941,305
899,341
925,412
887,490
906,664
996,440
962,479
983,380
985,285
996,245
979,157
713,601
690,562
656,650
588,699
590,746
547,745
539,775
530,834
515,859
503,889
483,925
539,947
460,1000
669,920
753,853
770,776
719,733
695,702
860,776
846,873
934,946
962,982
856,954
794,981
755,885
582,832
631,815
562,1001
966,836
777,703
716,445
805,392
820,456
641,758
590,890
743,939
1017,887
717,146
863,370
661,837
638,701
611,542
