290,569
311,522
299,468
352,384
380,332
648,223
919,807
940,768
961,603
939,434
968,413
726,384
172,740
119,740
77,799
42,852
45,319
143,266
188,219
142,206
327,39
609,859
953,718
935,662
885,603
805,106
806,76
783,72
697,477
565,981
885,702
932,572
954,473
387,768
396,801
434,689
499,559
271,123
241,132
231,94
235,49
188,117
193,148
170,153
96,327
72,342
35,437
44,403
8,446
14,401
16,17
73,24
71,914
288,910
335,963
428,713
407,733
468,539
483,304
555,147
741,365
652,593
746,606
765,542
341,923
474,195
286,13
14,484
