33,249
162,137
322,136
368,119
519,98
508,62
591,79
565,27
511,145
494,185
516,240
616,153
715,128
653,190
690,257
699,290
722,345
745,392
726,425
780,495
627,656
551,494
304,500
155,369
811,199
842,159
841,85
875,64
900,51
902,275
1006,323
979,265
837,581
826,695
787,724
860,726
814,768
903,861
983,756
930,928
532,893
355,746
357,823
298,782
288,748
310,664
320,684
360,667
232,665
240,622
302,608
345,610
387,570
142,627
72,609
431,343
468,312
662,900
995,545
922,560
836,298
50,434
12,447
16,519
447,698
267,645
310,982
122,142
206,703
167,689
374,1009
656,216
283,77
905,980
872,583
955,198
942,26
910,9
274,708
