994,121
988,75
910,111
928,73
874,39
848,82
822,72
795,162
882,183
842,151
827,278
840,319
990,202
896,300
935,280
944,331
1014,324
1007,368
940,356
961,392
997,421
970,422
930,434
1000,499
992,524
998,587
930,514
910,457
828,40
791,21
768,80
762,119
700,190
736,154
686,107
723,102
736,35
674,24
645,56
704,257
760,257
734,299
786,307
747,352
793,371
770,406
735,440
800,468
773,504
794,554
820,588
778,616
773,661
812,642
859,663
815,697
806,727
811,769
745,781
750,817
760,856
814,830
741,910
792,909
799,981
748,1005
695,940
613,959
515,962
487,1000
568,889
1005,823
864,855
1009,861
999,956
852,558
839,422
880,401
850,354
852,224
909,251
932,196
970,34
703,55
876,134
1001,253
959,259
554,453
542,398
499,409
524,498
541,708
536,653
208,540
319,592
305,561
276,633
262,614
222,296
477,333
428,39
185,80
113,836
324,737
397,1000
301,1014
614,996
584,599
635,227
673,827
346,947
592,907
193,986
400,763
462,759
293,385
22,219
874,476
749,206
629,14
109,79
277,250
363,335
203,424
116,966
722,826
193,819
