x,y,lat,lon,filename
403,562,51.56290211085937,-0.16371399843749998,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
342,561,51.56290377824218,-0.163877611875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
304,543,51.56293379113281,-0.16397953499999998,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
430,494,51.56301549289062,-0.16364157937499998,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
487,420,51.56313887921875,-0.1634886946875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
276,376,51.5632122440625,-0.16405463625,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
554,335,51.56328060675781,-0.16330898812499997,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
694,288,51.56335897375,-0.16293348187499998,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
776,753,51.562583640742176,-0.16271354249999997,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
698,692,51.56268535109374,-0.16292275312499996,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
296,917,51.562310189960925,-0.1640009925,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
167,864,51.56239856124999,-0.1643469946875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
91,867,51.56239355910155,-0.1645508409375,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
87,782,51.56253528664062,-0.1645615696875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
15,743,51.562600314570304,-0.1647546871875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
25,348,51.563258930781245,-0.1647278653125,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
470,65,51.56373080011719,-0.163534291875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
361,364,51.56323225265625,-0.1638266503125,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
348,446,51.563095527265624,-0.16386151875,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
388,500,51.563005488593745,-0.16375423125,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
405,413,51.563150550898435,-0.1637086340625,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
32,928,51.562291848749986,-0.16470909,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
26,992,51.56218513624999,-0.164725183125,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
109,1006,51.56216179289061,-0.1645025615625,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
922,982,51.562201810078115,-0.16232194312499995,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
1007,910,51.56232186164061,-0.16209395718749994,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
633,1007,51.5621601255078,-0.16309709531249997,00_00_51.56383918_-0.16479492_19_1024_1024.jpg
47,34,51.56207506632813,-0.16466885718750002,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
34,99,51.56196668136719,-0.16470372562500002,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
110,60,51.56203171234375,-0.164499879375,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
83,86,51.56198835835937,-0.16457229843750001,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
41,207,51.561786595585936,-0.16468495031250002,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
100,197,51.56180327019531,-0.16452670125000002,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
124,110,51.561948339296876,-0.16446232875,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
216,89,51.561983355976565,-0.1642155675,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
207,35,51.562073398867184,-0.1642397071875,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
307,33,51.56207673378906,-0.16397148843749998,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
372,38,51.56206839648438,-0.16379714625,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
358,143,51.56189331308594,-0.163834696875,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
273,133,51.561909987695316,-0.1640626828125,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
232,139,51.56189998292969,-0.1641726525,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
56,281,51.56166320347656,-0.1646447175,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
226,246,51.56172156460938,-0.164188745625,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
180,285,51.561656533632814,-0.16431212625,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
68,348,51.56155148359375,-0.16461253125,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
331,253,51.561709892382815,-0.1639071159375,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
401,201,51.56179660035156,-0.1637193628125,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
178,170,51.56184829164063,-0.164317490625,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
122,412,51.56144476609375,-0.164467693125,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
225,397,51.56146977800781,-0.16419142781249998,00_02_51.56213176_-0.16479492_19_1024_1024.jpg
